iter	RMSE
0	15.40919568
1	15.34795355
2	15.28700277
3	15.22628463
4	15.1658757
5	15.10573128
6	15.04571375
7	14.98606142
8	14.92656472
9	14.86726264
10	14.80824281
11	14.74952163
12	14.69096082
13	14.63267611
14	14.5746493
15	14.51675076
16	14.45914964
17	14.40178552
18	14.34468556
19	14.28779144
20	14.2311441
21	14.17464971
22	14.11846488
23	14.06240788
24	14.00663337
25	13.95105782
26	13.89566641
27	13.84062889
28	13.78576246
29	13.73115004
30	13.67660143
31	13.62234421
32	13.56838511
33	13.51460993
34	13.46101695
35	13.40763376
36	13.35449623
37	13.3015913
38	13.24886957
39	13.19631494
40	13.14396859
41	13.09186966
42	13.03996428
43	12.98832606
44	12.93679052
45	12.88562582
46	12.83452426
47	12.78365818
48	12.73302805
49	12.68256618
50	12.63230006
51	12.58225763
52	12.53246853
53	12.48278596
54	12.43332082
55	12.38409802
56	12.33503219
57	12.28614208
58	12.23750211
59	12.18904718
60	12.14075064
61	12.09266431
62	12.04480411
63	11.99710528
64	11.94963731
65	11.90232154
66	11.85517325
67	11.80826758
68	11.76152204
69	11.71501923
70	11.66863824
71	11.62241889
72	11.57641775
73	11.53060085
74	11.48499243
75	11.43952331
76	11.39425936
77	11.34915556
78	11.30427542
79	11.25951903
80	11.21493904
81	11.17050847
82	11.12635117
83	11.08239762
84	11.03863171
85	10.99499323
86	10.95147422
87	10.90817642
88	10.86507814
89	10.82211764
90	10.77938182
91	10.73677353
92	10.69436642
93	10.65217114
94	10.61013044
95	10.56818854
96	10.52646901
97	10.48485106
98	10.44353513
99	10.40229676
100	10.36118529
101	10.32022653
102	10.27939981
103	10.2388115
104	10.19840472
105	10.1581254
106	10.11798595
107	10.0780679
108	10.03830347
109	9.998663021
110	9.959102242
111	9.919764159
112	9.88063969
113	9.84170729
114	9.802830941
115	9.763995745
116	9.725401233
117	9.687084724
118	9.648883167
119	9.610801882
120	9.572959419
121	9.535254319
122	9.497698155
123	9.460251856
124	9.423051351
125	9.385906698
126	9.348768102
127	9.311814199
128	9.275102067
129	9.238542583
130	9.202156207
131	9.165917296
132	9.129822482
133	9.093741538
134	9.057953009
135	9.02236667
136	8.986771356
137	8.951223038
138	8.915926132
139	8.880793532
140	8.845823963
141	8.810966818
142	8.776284508
143	8.741729539
144	8.707326839
