iter	Passed	Remaining
0	35	3559740
1	63	3152940
2	109	3633643
3	135	3385266
4	171	3430487
5	196	3269924
6	233	3330204
7	264	3307003
8	309	3438245
9	338	3388933
10	380	3456970
11	406	3388218
12	446	3433816
13	471	3368807
14	511	3408727
15	537	3360619
16	580	3416904
17	609	3387473
18	649	3418617
19	676	3379992
20	714	3402913
21	746	3390793
22	791	3439014
23	827	3447303
24	888	3554239
25	933	3587776
26	996	3690888
27	1047	3738534
28	1097	3783349
29	1129	3763960
30	1186	3825670
31	1222	3818212
32	1272	3855883
33	1303	3831358
34	1349	3853526
35	1383	3840451
36	1438	3886992
37	1475	3881175
38	1527	3914152
39	1560	3898671
40	1612	3932512
41	1644	3913918
42	1696	3943801
43	1752	3981064
44	1810	4022025
45	1848	4016027
46	1896	4033540
47	1931	4022920
48	1994	4068956
49	2039	4077352
50	2089	4094944
51	2140	4114385
52	2197	4144251
53	2242	4151096
54	2310	4197805
55	2351	4197225
56	2394	4198373
57	2422	4174973
58	2463	4172167
59	2486	4142342
60	2522	4133386
61	2556	4121499
62	2601	4126348
63	2632	4110916
64	2671	4107258
65	2707	4100102
66	2758	4114710
67	2790	4101115
68	2831	4101165
69	2862	4086819
70	2906	4090318
71	2937	4076312
72	2980	4079752
73	3010	4065107
74	3066	4085851
75	3099	4075399
76	3147	4084498
77	3180	4074283
78	3227	4082238
79	3258	4069649
80	3300	4070984
81	3328	4055841
82	3370	4057397
83	3399	4043266
84	3440	4044553
85	3470	4032480
86	3509	4030414
87	3538	4017005
88	3579	4018180
89	3604	4001552
90	3641	3998376
91	3667	3983135
92	3707	3983158
93	3736	3971704
94	3780	3975669
95	3808	3963098
96	3848	3963333
97	3878	3953673
98	3923	3959189
99	3952	3948769
100	4007	3963541
101	4032	3949754
102	4082	3959778
103	4142	3979410
104	4248	4041825
105	4295	4048482
106	4362	4073114
107	4407	4076703
108	4467	4093826
109	4510	4095576
110	4572	4114386
111	4606	4108354
112	4659	4119126
113	4695	4114484
114	4741	4118596
115	4780	4116030
116	4832	4125318
117	4868	4121219
118	4919	4128814
119	4955	4124730
120	5011	4136727
121	5051	4135296
122	5107	4147057
123	5144	4143939
124	5260	4203080
125	5315	4213012
126	5369	4222710
127	5404	4217162
128	5457	4224849
129	5511	4234273
130	5581	4254806
131	5623	4254895
132	5685	4269440
133	5723	4265291
134	5798	4289680
135	5861	4303803
136	5948	4336226
137	6006	4346869
138	6068	4359677
139	6108	4357155
140	6160	4362635
141	6199	4359595
142	6272	4380103
143	6314	4378775
144	6374	4389624
145	6412	4385974
146	6461	4389270
147	6506	4389588
148	6574	4405739
